GAME_ID,GAME_EVENT_ID,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SHOT_MADE_FLAG,LOC_X,LOC_Y,PLAYER_ID,TEAM_ID,xFG_base,xPPS_base,game_clock,close_def_id,close_def_dist_release,close_def_dist_min,close_def_dist_mean,close_def_closing_speed_mean,close_def_closing_speed_min,def_speed_mean,def_speed_max,def_accel_mean,def_accel_max,shooter_speed_mean,shooter_speed_max,shooter_accel_mean,shooter_accel_max,window_frames,game_clock_release,shot_clock_release,release_idx
21500622,8,1,10,17,0,-25.0,219.0,201567,1610612739,0.3662512529021603,0.7325025058043206,617,101106,4.987178146266689,4.987178146266689,7.9409513359478305,-5.946087527785351,-7.49474285769931,14.251189033525282,14.952584015422834,3.0208051317807367,7.2759664467421326,16.081145359000022,17.2550647280308,3.380943484606505,7.433705722111483,26,617.03,21.72,164
21500622,10,1,10,10,1,168.0,178.0,202691,1610612744,0.3707533422960404,1.112260026888121,610,2747,2.7846221283506294,2.727415889610537,3.8038922065336696,-2.366713371564694,-4.742199281680115,7.21684110897529,9.85558326776475,5.548111521230928,10.658683557344316,9.376049812492434,12.851461791714048,10.286401978952561,24.658258508220477,26,610.24,24.0,334
21500622,28,1,8,36,0,-52.0,244.0,2544,1610612739,0.3707533422960404,1.112260026888121,516,203084,13.05285368928956,13.05285368928956,13.879882700943257,-0.9545019942886986,-2.3379592749240174,14.444700906812729,14.985645896922737,1.9517710773606165,4.8577785366217485,11.890169733579995,12.715390893187017,1.6712281934578392,3.731838368381757,26,516.01,22.57,359
21500622,30,1,8,23,0,-135.0,214.0,203110,1610612744,0.3615148896921796,1.0845446690765388,503,201567,3.238877396413761,2.202601491713829,3.0942082115143585,0.8981049013593547,-0.4767881945220098,9.564325909156308,11.209471643281645,4.650576542064558,11.870451314659757,10.710292579417874,13.155977341976369,6.231973961377172,10.759304516244672,26,503.01,23.17,309
21500622,34,1,8,6,0,22.0,51.0,101106,1610612744,0.4104101095557158,0.8208202191114315,486,202389,15.542483042583639,9.949742234595831,12.834109376785419,5.2594237053393105,2.5148074250419095,10.358149548380915,12.189738155622331,4.505002359482797,13.466622516138171,13.653639658308853,15.155398952524228,3.5367980053772907,7.147216287961822,26,486.02,22.94,163
21500622,41,1,7,30,1,-237.0,120.0,203084,1610612744,0.349533254312056,1.048599762936168,450,202389,3.807896803289185,3.807896803289185,5.229534787663349,-3.272612937879355,-4.660473599566561,11.44133380552093,11.821889099734104,1.3443266975209849,4.724035611835498,16.125290685723442,17.549333955013317,3.1915759186744537,5.812622597481409,26,450.9,24.0,424
21500622,42,1,7,15,0,0.0,41.0,2747,1610612739,0.4104101095557158,0.8208202191114315,435,201939,4.532276523426172,2.8943948724387933,3.7061063183971266,-0.2709513051516589,-4.121942543207946,5.38193949160353,7.122950276766769,3.5261755025859993,9.324479225549165,9.88158475423747,11.585892298520742,6.003913687206716,11.395268358379495,26,435.03,22.61,546
21500622,45,1,6,46,0,-191.0,160.0,201939,1610612744,0.3674963282095979,1.1024889846287937,406,2544,4.102545371900231,4.102545371900231,5.1748851005456515,-0.5777089066883984,-4.0518084916422055,15.512338373946537,15.77828969603139,1.7633991579812314,4.030024612257499,13.603226610952298,13.800620736979388,0.9258758552253861,2.348509080605665,26,406.02,22.67,1272
21500622,48,1,6,11,0,-9.0,7.0,203110,1610612744,0.5936514846910136,1.1873029693820272,371,202681,5.397049720513979,5.397049720513979,7.5510046998295355,-4.6016568644360865,-6.4783270479916055,11.190392398525809,11.65445630835132,0.8812132897974427,1.9309399296402185,14.060119256828973,16.476384178697053,5.211410356753081,7.713556294947965,26,371.0,22.1,73
21500622,50,1,6,2,1,60.0,21.0,2747,1610612739,0.40668588633212244,0.8133717726642449,362,202691,9.345100528303588,9.168889286800228,9.247027742481437,0.13868508878038718,-0.31247188751926114,11.88615230160991,13.362241074933035,3.5006858944411197,6.302007234634077,10.98478881562477,11.620229673243566,1.430955537974171,3.0241077289204332,26,362.01,24.0,298
21500622,57,1,5,0,1,228.0,-10.0,2738,1610612744,0.38927988398318536,1.167839651949556,300,2544,32.889222174391726,26.981920129527474,29.717584488479222,5.576206455856689,2.2891948436640774,5.163077761535538,5.736903235654602,2.073020231127944,5.958146810797649,13.956333566630219,14.575524596872029,2.1943096916392886,5.038012365139011,26,300.01,22.86,54
21500622,63,1,4,32,0,-115.0,169.0,2544,1610612739,0.38222171205154865,0.7644434241030973,272,203110,7.889562058980202,5.948618398460265,7.1913284152424755,1.8647825571694991,0.25790840881108057,13.70465811671818,15.09004503185386,3.1102057812581507,8.26214276889543,10.572169032490345,12.078704332482342,2.663210157326811,4.126071614317084,26,272.03,23.43,417
21500622,65,1,4,16,0,-7.0,11.0,202691,1610612744,0.5909632452161191,1.1819264904322382,256,2747,13.621754501458321,11.09774830323702,12.476048305753094,2.43077741639087,0.8991314438518527,14.940992859700227,15.21822883618936,1.5736625767022385,3.377344599545884,15.95770107865814,16.157874719374085,0.7932744528477614,2.656347154520633,26,256.03,20.95,167
21500622,69,1,4,3,1,-9.0,3.0,2544,1610612739,0.6094174259686342,1.2188348519372685,243,2738,7.675245092855342,7.44404997733089,8.565177012009519,-3.077169111971273,-6.819076266687252,6.646136223649524,7.278364245484064,2.228275698836536,6.9228782396099975,15.855514903542701,16.255806986517733,1.560301837973606,3.585099627131516,26,243.02,24.0,329
21500622,70,1,3,49,1,0.0,1.0,203105,1610612744,0.8824386888656829,1.7648773777313658,229,2544,22.087775069413397,15.709213344022041,18.974169306366452,6.047925325794689,2.90974435164304,6.547384654255885,7.2620225322712475,2.162590078966564,6.706315685036834,16.241788273270004,16.851098777163713,2.1078090003862933,4.955493896287555,26,229.03,23.82,316
21500622,71,1,3,25,1,174.0,-1.0,2747,1610612739,0.40114327110686976,0.8022865422137395,205,2571,4.9693471265851406,4.9693471265851406,6.284337331397079,-2.496112692309994,-2.8169335517416183,17.105320065631698,17.766656814239177,2.0353372237603993,4.673068167582128,20.29469820277461,20.65384821508513,1.0738702532289535,3.1704558461568944,26,205.03,22.51,366
21500622,72,1,3,10,1,0.0,1.0,203105,1610612744,0.8824386888656829,1.7648773777313658,190,2747,12.784656935952567,12.69122191592677,12.801686915028414,-0.1388880553589452,-0.7632807082093684,10.85680262046986,11.291407083547007,0.8725510282946584,1.9652713525603271,14.383532648997518,14.880616570300607,1.962995073444084,6.2745927022813675,26,190.03,24.0,266
21500622,73,1,2,49,0,-19.0,62.0,203521,1610612739,0.40114327110686976,0.8022865422137395,169,203110,4.993828447363805,4.993828447363805,5.4986852661742756,-1.040843490311524,-2.497576922212641,2.971593630222508,3.5001814261155895,2.6752023582247553,7.425309123878254,2.8396244205001313,4.027728527572757,4.662633725487982,12.983482120455363,26,169.03,3.83,191
21500622,75,1,2,44,0,89.0,-10.0,201567,1610612739,0.41048012519472293,0.8209602503894459,164,203105,16.565925961783723,16.565925961783723,19.667616015996693,-4.589490231407655,-7.775671324093558,14.1609722198023,17.21119895726246,6.729639124890208,11.244406095258563,13.440353911958237,14.807889834011696,3.271443749931464,5.3321588508145945,26,164.03,21.95,316
21500622,85,1,2,21,1,-71.0,82.0,2747,1610612739,0.373251813537545,0.74650362707509,141,2571,10.70438704718771,10.70438704718771,11.754854296199035,-1.7164879505790338,-2.4653847987545108,15.292100155404809,15.460525697443135,0.9367819850911164,2.1656629596162658,12.43293416217767,13.465232877255628,2.569958619995097,6.6198996514972075,26,141.0,24.0,590
21500622,90,1,1,28,1,1.0,13.0,2747,1610612739,0.5936514846910136,1.1873029693820272,88,2571,9.746057778086481,9.746057778086481,11.348538418353765,-3.0630713457733507,-3.621896310296324,10.030588637176164,11.108205248762154,3.4222867736602254,8.298761537311105,11.616149863206703,11.986974324519105,1.3754081526210824,4.45767493711402,26,88.02,24.0,289
21500622,91,1,1,18,1,-50.0,267.0,201939,1610612744,0.349533254312056,1.048599762936168,78,203521,6.601177263140265,1.5650957574538333,3.2784146111408288,4.774382729031862,-0.12834717214469382,2.745945659579387,4.392078011863323,3.907051346516307,7.7110028561064805,4.5511823457689715,5.381600396620538,2.5094164013698994,8.757435004810338,26,78.02,23.37,539
