Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PT_DIFF
NOP,NOP @ PHX,11/25/2015,W,240,120,42,81,51.9,10,22,45.5,26,34,76.5,5,37,42,20,4,6,14,23,6
DAL,DAL @ SAS,11/25/2015,L,240,83,34,83,41,6,22,27.3,9,12,75,9,37,46,21,7,1,13,21,-5
MIL,MIL vs. SAC,11/25/2015,L,240,118,42,88,47.7,13,31,41.9,21,27,77.8,10,27,37,30,7,7,11,22,-11
BKN,BKN @ OKC,11/25/2015,L,240,99,43,94,45.7,3,13,23.1,10,12,83.3,11,34,45,20,10,3,17,19,-11
ORL,ORL vs. NYK,11/25/2015,W,240,100,34,86,39.5,5,16,31.3,27,32,84.4,15,33,48,20,2,7,8,21,9
SAS,SAS vs. DAL,11/25/2015,W,240,88,33,81,40.7,8,28,28.6,14,19,73.7,12,40,52,23,6,4,14,12,5
MEM,MEM @ HOU,11/25/2015,W,240,102,39,80,48.8,3,16,18.8,21,23,91.3,9,32,41,21,8,3,17,23,9
WAS,WAS @ CHA,11/25/2015,L,240,87,31,87,35.6,10,32,31.3,15,18,83.3,11,30,41,15,13,4,14,20,-14
HOU,HOU vs. MEM,11/25/2015,L,240,93,30,71,42.3,10,34,29.4,23,27,85.2,6,31,37,19,14,7,20,22,-9
PHI,PHI @ BOS,11/25/2015,L,240,80,31,83,37.3,7,27,25.9,11,15,73.3,7,43,50,12,11,14,19,21,-4
DET,DET vs. MIA,11/25/2015,W,240,104,41,98,41.8,16,31,51.6,6,7,85.7,18,36,54,24,6,7,7,16,23
ATL,ATL vs. BOS,11/24/2015,W,240,121,45,80,56.3,12,24,50,19,22,86.4,6,37,43,33,8,7,21,25,24
CHI,CHI @ POR,11/24/2015,W,240,93,33,86,38.4,7,18,38.9,20,23,87,6,38,44,19,6,3,14,18,5
DEN,DEN vs. LAC,11/24/2015,L,240,94,31,78,39.7,8,25,32,24,29,82.8,8,40,48,16,3,0,16,32,-17
LAC,LAC @ DEN,11/24/2015,W,240,111,37,79,46.8,8,20,40,29,47,61.7,11,32,43,24,10,8,7,25,17
LAL,LAL @ GSW,11/24/2015,L,240,77,31,83,37.3,3,21,14.3,12,16,75,8,37,45,16,8,2,15,15,-34
MEM,MEM vs. DAL,11/24/2015,W,240,110,37,86,43,7,21,33.3,29,37,78.4,5,37,42,20,12,4,9,24,14
WAS,WAS vs. IND,11/24/2015,L,240,106,38,83,45.8,13,33,39.4,17,24,70.8,10,30,40,27,9,1,21,18,-17
BOS,BOS @ ATL,11/24/2015,L,240,97,34,82,41.5,9,21,42.9,20,26,76.9,10,23,33,23,14,2,17,19,-24
DAL,DAL @ MEM,11/24/2015,L,240,96,30,77,39,11,34,32.4,25,28,89.3,4,44,48,22,4,6,19,25,-14
GSW,GSW vs. LAL,11/24/2015,W,240,111,45,92,48.9,12,35,34.3,9,15,60,12,36,48,32,9,6,8,13,34
IND,IND @ WAS,11/24/2015,W,240,123,44,80,55,19,26,73.1,16,23,69.6,7,34,41,25,11,0,20,18,17
POR,POR vs. CHI,11/24/2015,L,240,88,31,88,35.2,6,22,27.3,20,27,74.1,16,39,55,18,5,9,15,21,-5
MIN,MIN vs. PHI,11/23/2015,W,240,100,36,78,46.2,3,12,25,25,27,92.6,8,33,41,20,8,7,17,25,5
ORL,ORL @ CLE,11/23/2015,L,240,103,40,81,49.4,10,22,45.5,13,21,61.9,9,30,39,25,6,6,10,21,-14
PHX,PHX @ SAS,11/23/2015,L,240,84,34,73,46.6,7,19,36.8,9,10,90,9,28,37,23,13,3,28,17,-14
SAC,SAC @ CHA,11/23/2015,L,265,122,52,104,50,8,31,25.8,10,16,62.5,8,38,46,34,10,8,20,30,-5
DET,DET @ MIL,11/23/2015,L,240,88,31,91,34.1,6,28,21.4,20,24,83.3,22,26,48,19,7,3,18,18,-21
CHA,CHA vs. SAC,11/23/2015,W,265,127,49,98,50,9,29,31,20,26,76.9,8,40,48,24,10,7,19,19,5
CLE,CLE vs. ORL,11/23/2015,W,240,117,43,81,53.1,18,35,51.4,13,22,59.1,8,33,41,34,5,3,10,15,14
MIA,MIA vs. NYK,11/23/2015,W,240,95,31,81,38.3,5,19,26.3,28,36,77.8,16,40,56,18,8,7,10,19,17
MIL,MIL vs. DET,11/23/2015,W,240,109,43,83,51.8,9,13,69.2,14,17,82.4,12,33,45,30,12,4,12,23,21
NYK,NYK @ MIA,11/23/2015,L,240,78,28,87,32.2,4,24,16.7,18,21,85.7,15,34,49,12,7,4,13,23,-17
PHI,PHI @ MIN,11/23/2015,L,240,95,32,78,41,10,31,32.3,21,27,77.8,11,30,41,15,10,6,19,26,-5
SAS,SAS vs. PHX,11/23/2015,W,240,98,42,82,51.2,9,20,45,5,10,50,11,27,38,21,18,3,21,20,14
OKC,OKC @ UTA,11/23/2015,W,240,111,42,77,54.5,11,27,40.7,16,18,88.9,6,30,36,22,12,10,17,31,22
UTA,UTA vs. OKC,11/23/2015,L,240,89,28,73,38.4,5,19,26.3,28,40,70,13,28,41,15,11,3,21,18,-22
BOS,BOS @ BKN,11/22/2015,L,240,101,35,82,42.7,14,37,37.8,17,21,81,10,25,35,19,9,2,17,28,-10
NOP,NOP vs. PHX,11/22/2015,W,240,122,39,85,45.9,11,30,36.7,33,40,82.5,10,39,49,23,11,6,14,26,6
GSW,GSW @ DEN,11/22/2015,W,240,118,47,89,52.8,15,29,51.7,9,13,69.2,11,35,46,35,15,8,21,25,13
LAC,LAC vs. TOR,11/22/2015,L,240,80,29,74,39.2,7,32,21.9,15,20,75,12,30,42,21,9,9,20,30,-11
BKN,BKN vs. BOS,11/22/2015,W,240,111,40,79,50.6,5,15,33.3,26,33,78.8,14,35,49,18,11,4,15,20,10
TOR,TOR @ LAC,11/22/2015,W,240,91,29,78,37.2,4,17,23.5,29,31,93.5,14,32,46,15,8,0,16,19,11
DAL,DAL @ OKC,11/22/2015,L,240,114,44,83,53,10,19,52.6,16,28,57.1,9,27,36,26,8,4,17,17,-3
DEN,DEN vs. GSW,11/22/2015,L,240,105,37,86,43,4,15,26.7,27,35,77.1,13,28,41,23,9,3,20,15,-13
LAL,LAL vs. POR,11/22/2015,L,240,93,32,88,36.4,6,18,33.3,23,27,85.2,15,36,51,17,2,6,11,12,-14
PHX,PHX @ NOP,11/22/2015,L,240,116,35,90,38.9,17,36,47.2,29,33,87.9,11,35,46,17,6,4,15,29,-6
POR,POR @ LAL,11/22/2015,W,240,107,43,87,49.4,8,25,32,13,17,76.5,7,36,43,27,7,8,10,18,14
OKC,OKC vs. DAL,11/22/2015,W,240,117,47,90,52.2,9,22,40.9,14,18,77.8,14,27,41,25,8,6,16,23,3
ATL,ATL @ CLE,11/21/2015,L,240,97,32,86,37.2,11,28,39.3,22,25,88,12,26,38,22,10,4,12,20,-12
MIL,MIL @ IND,11/21/2015,L,240,86,34,79,43,5,17,29.4,13,19,68.4,13,30,43,19,9,5,23,19,-37
ORL,ORL vs. SAC,11/21/2015,L,240,91,38,92,41.3,9,31,29,6,8,75,15,35,50,27,8,7,17,26,-6
PHI,PHI @ MIA,11/21/2015,L,240,91,31,82,37.8,10,31,32.3,19,24,79.2,10,33,43,16,7,8,17,30,-5
CLE,CLE vs. ATL,11/21/2015,W,240,109,41,85,48.2,11,29,37.9,16,19,84.2,11,40,51,27,4,8,14,22,12
HOU,HOU vs. NYK,11/21/2015,L,240,102,35,81,43.2,12,28,42.9,20,28,71.4,16,26,42,18,6,4,12,26,-5
NYK,NYK @ HOU,11/21/2015,W,240,107,34,80,42.5,12,25,48,27,34,79.4,19,26,45,20,4,8,13,22,5
IND,IND vs. MIL,11/21/2015,W,240,123,47,91,51.6,15,30,50,14,23,60.9,11,31,42,28,15,5,14,13,37
SAC,SAC @ ORL,11/21/2015,W,240,97,31,81,38.3,7,20,35,28,31,90.3,10,37,47,23,11,5,16,16,6
SAS,SAS vs. MEM,11/21/2015,W,240,92,34,72,47.2,7,21,33.3,17,22,77.3,7,33,40,20,7,6,18,20,10
MEM,MEM @ SAS,11/21/2015,L,240,82,32,74,43.2,1,9,11.1,17,17,100,7,28,35,19,13,2,17,23,-10
WAS,WAS @ DET,11/21/2015,W,240,97,38,78,48.7,7,19,36.8,14,20,70,9,33,42,22,10,0,13,19,2
DET,DET vs. WAS,11/21/2015,L,240,95,36,79,45.6,8,26,30.8,15,21,71.4,8,30,38,20,3,2,13,17,-2
MIA,MIA vs. PHI,11/21/2015,W,240,96,30,69,43.5,5,18,27.8,31,45,68.9,9,36,45,16,7,14,16,19,5
BOS,BOS vs. BKN,11/20/2015,W,240,120,51,87,58.6,10,29,34.5,8,10,80,7,34,41,39,10,4,16,19,25
NOP,NOP vs. SAS,11/20/2015,W,240,104,40,88,45.5,8,22,36.4,16,17,94.1,7,46,53,26,3,3,10,17,14
CHI,CHI @ GSW,11/20/2015,L,240,94,35,88,39.8,7,22,31.8,17,23,73.9,15,28,43,22,11,2,12,19,-12
DAL,DAL vs. UTA,11/20/2015,W,240,102,39,83,47,8,28,28.6,16,17,94.1,8,26,34,24,10,5,9,19,9
LAL,LAL vs. TOR,11/20/2015,L,240,91,35,77,45.5,8,25,32,13,17,76.5,9,32,41,21,8,4,15,18,-11
BKN,BKN @ BOS,11/20/2015,L,240,95,35,89,39.3,8,19,42.1,17,24,70.8,14,30,44,17,10,0,20,13,-25
POR,POR vs. LAC,11/20/2015,W,240,102,38,90,42.2,8,25,32,18,24,75,17,38,55,16,8,3,14,17,11
SAS,SAS @ NOP,11/20/2015,L,240,90,34,84,40.5,9,17,52.9,13,16,81.3,5,38,43,22,5,8,8,17,-14
DET,DET @ MIN,11/20/2015,W,240,96,40,87,46,6,28,21.4,10,13,76.9,8,37,45,13,11,5,14,23,10
CHA,CHA vs. PHI,11/20/2015,W,240,113,40,81,49.4,12,25,48,21,22,95.5,5,36,41,25,7,10,11,21,25
DEN,DEN vs. PHX,11/20/2015,L,240,107,41,90,45.6,5,24,20.8,20,26,76.9,14,24,38,24,8,4,12,22,-7
GSW,GSW vs. CHI,11/20/2015,W,240,106,39,79,49.4,10,29,34.5,18,24,75,11,38,49,20,7,6,16,15,12
HOU,HOU @ MEM,11/20/2015,L,240,84,28,74,37.8,6,29,20.7,22,37,59.5,9,40,49,15,11,9,23,23,-12
